Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-01-04,125.9744873046875,130.06298469487015,123.39483678206736,129.97537753773977,143301900
2021-01-05,127.5319595336914,128.2425902906654,125.02045122966085,125.46824574975814,97664900
2021-01-06,123.23906707763672,127.57093452826126,123.02490637051051,124.32933639261917,155088000
2021-01-07,127.4443588256836,128.13551641563382,124.46559750336911,124.95232359796171,109578200
2021-01-08,128.5443878173828,129.10899197173987,126.77269738263777,128.91428961570313,105158200
2021-01-11,125.55587005615234,126.71428063801753,125.08861712398671,125.76030156918269,100384500
2021-01-12,125.38064575195312,126.24701761180567,123.49214611607862,125.08860712256089,91951100
2021-01-13,127.4151611328125,127.96029200220607,125.07888173435367,125.34170314043133,88636800
2021-01-14,125.48776245117188,127.52227456444804,125.34173566730958,127.327587039671,90221800
2021-01-15,123.76471710205078,126.7629517813355,123.62843438270613,125.3611781802463,111598500
2021-01-19,124.43638610839844,125.29302872598721,123.57001431695545,124.38771053172626,90757300
2021-01-20,128.52491760253906,128.97271223666024,125.13730745125214,125.24438780808299,104319500
2021-01-21,133.23641967773438,135.96208925479198,130.0434971272025,130.2479286583061,120150900
2021-01-22,135.3780517578125,136.1373435501003,131.43556600326772,132.6621108553387,114459400
2021-01-25,139.1258544921875,141.23824501394026,132.91522167412407,139.27188130562476,157611700
2021-01-26,139.3594207763672,140.46915569228537,137.6169330170498,139.787742121757,98390600
2021-01-27,138.28863525390625,140.46917381461645,136.6824448551771,139.6222601892596,140843800
2021-01-28,133.4505615234375,138.22048632254183,133.07091575107856,135.81605814636788,142621100
2021-01-29,128.45681762695312,133.10992008382556,126.75327549744561,132.2240746115916,177523800
2021-02-01,130.57891845703125,131.7860049108473,127.45412937962104,130.19927257414088,106239800
2021-02-02,131.40635681152344,132.69130637282277,131.03644011259044,132.12670214686938,83305400
2021-02-03,130.38417053222656,132.1655895740763,130.06292957185698,132.15584554716537,89880900
2021-02-04,133.74261474609375,133.75234392204015,131.01694525702797,132.68155527349182,84183100
2021-02-05,133.3282470703125,133.97168912108438,132.4508369108214,133.90345338134028,75693800
2021-02-08,133.47450256347656,133.52325088194496,131.53443254526087,132.6165797613071,71297200
2021-02-09,132.59707641601562,134.42016235628924,132.44110262440083,133.19177019449774,76774200
2021-02-10,131.99266052246094,133.5525177010359,131.02749721967888,133.0553056014661,73046600
2021-02-11,131.7391815185547,132.9675589258699,130.4133074654321,132.4898491628531,64280000
2021-02-12,131.97314453125,132.1291332081116,130.33530805190028,130.9787501870301,60145100
2021-02-16,129.8478546142578,132.5970843838598,129.4578829220419,132.0901434978276,80576300
2021-02-17,127.55683898925781,128.9022155221852,126.22122104772362,127.95655446293937,97918500
2021-02-18,126.45519256591797,126.73790904839909,124.21290350757396,125.95798047907508,96856700
2021-02-19,126.61116027832031,127.43009341839543,125.56801758188449,126.9718859638425,87668800
2021-02-22,122.83826446533203,126.46491917771368,122.44830023340782,124.797821900289,103916400
2021-02-23,122.70178985595703,123.53045927947294,115.41923371769597,120.65448673963841,158273000
2021-02-24,122.20458984375,122.40931941932189,119.16288479188184,121.80488184514299,111039900
2021-02-25,117.95398712158203,123.28672920715788,117.51528197921584,121.5513960656033,148199500
2021-02-26,118.21723175048828,121.71714451300848,118.15873226929354,119.51385248275434,164560400
2021-03-01,124.58335876464844,124.71984514122286,119.70882406427694,120.64473383419431,116307900
2021-03-02,121.98036193847656,125.49002551913253,121.87312157746639,125.18780674062197,102260900
2021-03-03,118.99714660644531,122.55555866097826,118.78266587535208,121.67814086921052,112966300
2021-03-04,117.1155776977539,120.49850624904042,115.64347345208853,118.6949297486631,178155000
2021-03-05,118.37321472167969,118.88017056362067,114.61982398763308,117.94426066844194,153766600
2021-03-08,113.44017791748047,117.96374575469044,113.29394038143423,117.89550256292887,154376600
2021-03-09,118.05148315429688,118.99714411910483,115.80920155325997,116.04317714685729,129525800
2021-03-10,116.96934509277344,119.10438636423861,116.4526381350717,118.6364351696504,111943300
2021-03-11,118.89965057373047,120.1182842596345,118.21721868480411,119.46509838909789,103026500
2021-03-12,117.99298095703125,118.12946732804168,116.16990981369923,117.37879228748427,88105100
2021-03-15,120.87871551513672,120.88846666765528,117.39829786101335,118.36346113570012,92403800
2021-03-16,122.41907501220703,124.02767309341856,121.59040552732543,122.54581024798175,115227900
2021-03-17,121.62940979003906,122.70180609403398,119.2701289957093,120.93722665347914,111932600
2021-03-18,117.50553894042969,120.08904396527872,117.30080936399335,119.79656889154106,121229700
2021-03-19,116.97908020019531,118.38294855656439,116.67686143267959,116.89134214689703,185549500
2021-03-22,120.29375457763672,120.76171313425421,117.24229884140365,117.31054202279068,111912300
2021-03-23,119.465087890625,121.12242658262932,119.07512365781542,120.2352652049879,95467100
2021-03-24,117.07656860351562,119.81606211005297,117.05707373778829,119.73806777124454,88530500
2021-03-25,117.56401824951172,118.60717576184044,116.01391986522562,116.54037047817636,98844700
2021-03-26,118.1684799194336,118.4317089821302,115.93594193373995,117.33005928068575,94071200
2021-03-29,118.34394836425781,119.50408995901205,117.70051367598907,118.59742624167248,80819200
2021-03-30,116.89134979248047,117.37880328833072,115.87744562855794,117.09607936818357,85671900
2021-03-31,119.08489227294922,120.42051011090868,118.10998526692909,118.59743876993915,118323800
2021-04-01,119.9135513305664,121.06394179532072,119.41634671803331,120.55699346889742,75089100
2021-04-05,122.74077606201172,122.99425393009696,119.9817878428641,120.76171631176526,88651200
2021-04-06,123.0429916381836,123.93990414772982,122.49704618679874,123.32571551492187,80171300
2021-04-07,124.69060516357422,124.71010003062226,121.99985979599343,122.67254799737614,83466700
2021-04-08,127.08885955810547,127.1181055739932,125.29503449613289,125.71423730778919,88844600
2021-04-09,129.66262817382812,129.70161790758218,126.22120772891054,126.54292881700623,106686700
2021-04-12,127.94679260253906,129.5163933763926,127.35209877205047,129.19467229997423,91420000
2021-04-13,131.05674743652344,131.28098676840776,128.6194798143975,129.11669192988782,91266500
2021-04-14,128.71697998046875,131.6124551846021,128.35626912284386,131.55396314021985,87222800
2021-04-15,131.12501525878906,131.6124688471117,130.286594491838,130.4620855191037,89347100
2021-04-16,130.79351806640625,131.29071524829968,129.9355952026849,130.93000444237106,84922400
2021-04-19,131.4564208984375,132.07061690327527,129.9940607923638,130.15979315261126,94264200
2021-04-20,129.76988220214844,132.12915555406386,128.502500021129,131.6319582978669,94812300
2021-04-21,130.15011596679688,130.39384277572347,128.0053230234237,129.0387223131278,68847100
2021-04-22,128.6291961669922,130.78373170695372,128.11249679084415,129.70158464304262,84566500
2021-04-23,130.9495086669922,131.72942232628785,128.84370608473515,128.84370608473515,78657500
2021-04-26,131.3394317626953,131.67089647035067,130.2085364209227,131.44667209468918,66905100
2021-04-27,131.01776123046875,132.01217061234453,130.744788439507,131.6221988567553,66015800
2021-04-28,130.2280731201172,131.6319415185454,129.74061964154626,130.93975103357886,107760100
2021-04-29,130.1305389404297,133.63046521276726,129.1263862542738,133.04551525683968,151101000
2021-04-30,128.16123962402344,130.20853474127574,127.78102661111261,128.47320202841144,109839500
2021-05-03,129.21412658691406,130.70574751351384,128.52195116516012,128.72667324025528,75135100
2021-05-04,124.641845703125,128.19051366277054,123.52070128030383,127.89803861753046,137564700
2021-05-05,124.88558959960938,127.17661206810328,124.75884693241741,125.95797834787251,84000900
2021-05-06,126.48443603515625,126.4941797495625,123.93992080258374,124.6808521847062,78128300
2021-05-07,127.15829467773438,128.18367406719818,126.44539284737444,127.7832944994556,78973300
2021-05-10,123.87699890136719,126.50394796231055,123.83793549239249,126.3770049216638,88071200
2021-05-11,122.95905303955078,123.31060887111242,119.89263831181255,120.60553259243801,126142800
2021-05-12,119.89261627197266,121.71879146016067,119.3848068747701,120.50785562792139,112172300
2021-05-13,122.04105377197266,123.19339816893378,121.34769508108849,121.66019487769238,105861300
2021-05-14,124.4629135131836,124.8926034866763,122.9004146785494,123.29104124985348,81918000
2021-05-17,123.31060791015625,123.95514307259624,122.2363900900074,123.84772054552292,74244600
2021-05-18,121.92387390136719,124.01371786549493,121.8555147978895,123.59379552967953,63342900
2021-05-19,121.76763153076172,121.99223682754793,119.9805196188087,120.27349147179841,92612000
2021-05-20,124.32622528076172,124.72661966171272,122.1680220813628,122.2949800317053,76857100
2021-05-21,122.49027252197266,125.000038624456,122.27542751349361,124.82425702211704,79295400
2021-05-24,124.12116241455078,124.94147925250493,122.98835314857625,123.05671226419035,63092900
2021-05-25,123.92583465576172,125.31255964913692,123.35942638033971,124.82427074399982,72009500
2021-05-26,123.87699890136719,124.40434374665045,123.45707656811848,123.98442141340175,56575900
2021-05-27,122.34378814697266,124.64847698408089,122.14847856440403,123.4766045875031,94625600
2021-05-28,121.68950653076172,122.85161879427051,121.63091513952054,122.62700604353964,71311100
2021-06-01,121.36724090576172,122.41216295280358,121.0352130826755,122.14849423744593,67637100
2021-06-02,122.12896728515625,122.30474892445967,121.14264401239463,121.36724933170292,59278900
2021-06-03,120.64459228515625,121.9238874136965,120.24419788428176,121.75787349407824,76229200
2021-06-04,122.93949890136719,123.20317504815017,120.94730975584969,121.16215477898149,75169300
2021-06-07,122.94927978515625,123.35943444565716,121.90435770211774,123.21294850959707,71057600
2021-06-08,123.76959228515625,125.44928928445928,123.25201508828968,123.6328740614777,74403800
2021-06-09,124.15044403076172,124.75591573650723,123.55474004059155,124.22857085419675,56877900
2021-06-10,123.15434265136719,125.1855951846905,122.98832875360279,124.04301097808155,71186400
2021-06-11,124.36528778076172,124.45318231886102,123.14458411693292,123.56450647531338,53522400
